mid,aid
4337,9587
4337,22089
4337,38229
4337,46610
4337,1760
4337,1744
4337,1262412
4337,30288
4337,6846
4337,1744
4338,37362
4338,69105
4338,223803
4338,8502
4338,8503
4338,13270
4338,10603
4338,132251
4338,3358
4338,8508
4338,1344112
4338,26175
4339,19457
4339,93127
4339,844
4339,93128
4339,3637
4339,14962
4339,22095
4339,1760
4339,30106
4339,9061
4339,7513
4339,9587
4339,91232
4339,26175
4340,60949
4340,65734
4340,66512
4340,66512
4340,60949
4340,20823
4340,20822
4340,12865
4341,54967
4341,21672
4341,21808
4342,56789
4342,56789
4343,6446
4343,1390522
4343,988882
4343,94549
4343,1401631
4343,548437
4343,1405382
4343,1360094
4343,1392116
4343,56613
4343,8858
4343,47050
4343,47051
4343,51346
4343,28867
4343,57132
4343,57601
4343,54251
4343,8858
4343,57602
4343,488
4343,11098
4343,1044
4343,10548
4343,7068
4343,548445
4343,548439
4343,1435579
4343,6347
4343,14350
4343,14349
4343,14348
4343,8428
4343,1412188
4343,1435574
4343,1435575
4343,1435576
4343,14713
4343,1415333
4343,1422054
4343,32284
4343,1435577
4343,1435578
4343,1406616
4343,1408672
4343,1405232
4343,1392901
4343,14764
4343,13166
4343,3193
4343,1406390
4343,1392081
4343,13179
4343,1423757
4343,1391571
4343,1345595
4343,1413169
4343,1404212
4343,14765
4343,74980
4343,97000
4343,1435586
4343,1435588
4343,1424621
4343,1435590
4343,1388876
4343,1435591
4343,1435592
4343,1435591
4343,1155668
4343,8387
4343,1071437
4343,1435597
4343,1108501
4343,1432617
4343,10974
4343,1411540
4343,7727
4343,1339453
4343,1415632
4343,1408392
4343,1377132
4343,1392245
4343,42032
4343,1435605
4343,1435607
4343,1435608
4343,52450
4343,1435609
4343,11308
4343,1398980
4343,1265391
4343,1401273
4343,1432028
4343,384204
4344,58498
4344,18185
4344,1296
4344,1091
4344,22816
4344,58657
4344,19155
4344,19290
4344,1721
4344,14093
4345,10697
4345,10431
4345,10431
4345,10697
4346,5696
4346,225231
4347,135678
4347,135679
4347,135679
4347,571462
4347,544222
4347,1032823
4347,72801
4347,1043040
4347,1080761
4347,213337
4348,5553
4348,550344
4348,5322
4348,550345
4348,18357
4348,6800
4348,9154
4348,16363
4348,9153
4348,1346934
4348,60479
4348,75083
4348,1342606
4348,1408850
4349,5342
4349,8406
4349,2993
4349,64931
4349,7795
4349,10639
4349,12015
4350,109253
4350,108
4350,108
4350,109253
4351,14392
4351,15304
4351,15306
4351,15307
4351,2710
4351,15308
